,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium,a_href
0,Tottenham Hotspur,0,Manchester City,0,Saturday,August,14,2010,12:45,35928,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Wigan Athletic,0,Blackpool FC,4,Saturday,August,14,2010,15:00,16152,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Bolton Wanderers,0,Fulham FC,0,Saturday,August,14,2010,15:00,20352,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Wolverhampton Wanderers,2,Stoke City,1,Saturday,August,14,2010,15:00,27850,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Aston Villa,3,West Ham United,0,Saturday,August,14,2010,15:00,36604,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Blackburn Rovers,1,Everton FC,0,Saturday,August,14,2010,15:00,25869,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Sunderland AFC,2,Birmingham City,2,Saturday,August,14,2010,15:00,38390,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Chelsea FC,6,West Bromwich Albion,0,Saturday,August,14,2010,17:30,41589,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Liverpool FC,1,Arsenal FC,1,Sunday,August,15,2010,16:00,44722,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Manchester United,3,Newcastle United,0,Monday,August,16,2010,20:00,75221,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Arsenal FC,6,Blackpool FC,0,Saturday,August,21,2010,15:00,60032,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,West Bromwich Albion,1,Sunderland AFC,0,Saturday,August,21,2010,15:00,23624,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,West Ham United,1,Bolton Wanderers,3,Saturday,August,21,2010,15:00,32533,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Birmingham City,2,Blackburn Rovers,1,Saturday,August,21,2010,15:00,21394,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Stoke City,1,Tottenham Hotspur,2,Saturday,August,21,2010,15:00,27243,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Everton FC,1,Wolverhampton Wanderers,1,Saturday,August,21,2010,15:00,37767,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Wigan Athletic,0,Chelsea FC,6,Saturday,August,21,2010,17:15,14476,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Newcastle United,6,Aston Villa,0,Sunday,August,22,2010,13:30,43546,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Fulham FC,2,Manchester United,2,Sunday,August,22,2010,16:00,25643,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Manchester City,3,Liverpool FC,0,Monday,August,23,2010,20:00,47087,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Blackburn Rovers,1,Arsenal FC,2,Saturday,August,28,2010,12:45,25059,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Tottenham Hotspur,0,Wigan Athletic,1,Saturday,August,28,2010,15:00,35101,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Wolverhampton Wanderers,1,Newcastle United,1,Saturday,August,28,2010,15:00,27745,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Chelsea FC,2,Stoke City,0,Saturday,August,28,2010,15:00,40931,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Blackpool FC,2,Fulham FC,2,Saturday,August,28,2010,15:00,15529,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Manchester United,3,West Ham United,0,Saturday,August,28,2010,17:30,75061,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Bolton Wanderers,2,Birmingham City,2,Sunday,August,29,2010,13:30,18139,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Liverpool FC,1,West Bromwich Albion,0,Sunday,August,29,2010,15:00,41194,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Sunderland AFC,1,Manchester City,0,Sunday,August,29,2010,15:00,38610,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Aston Villa,1,Everton FC,0,Sunday,August,29,2010,16:00,34725,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Everton FC,3,Manchester United,3,Saturday,September,11,2010,12:45,36556,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,West Bromwich Albion,1,Tottenham Hotspur,1,Saturday,September,11,2010,15:00,23642,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Fulham FC,2,Wolverhampton Wanderers,1,Saturday,September,11,2010,15:00,25280,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Wigan Athletic,1,Sunderland AFC,1,Saturday,September,11,2010,15:00,15844,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Arsenal FC,4,Bolton Wanderers,1,Saturday,September,11,2010,15:00,59876,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Newcastle United,0,Blackpool FC,2,Saturday,September,11,2010,15:00,49597,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Manchester City,1,Blackburn Rovers,1,Saturday,September,11,2010,15:00,44246,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,West Ham United,1,Chelsea FC,3,Saturday,September,11,2010,15:00,33014,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Birmingham City,0,Liverpool FC,0,Sunday,September,12,2010,16:00,27333,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Stoke City,2,Aston Villa,1,Monday,September,13,2010,20:00,25899,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Stoke City,1,West Ham United,1,Saturday,September,18,2010,12:45,27028,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Tottenham Hotspur,3,Wolverhampton Wanderers,1,Saturday,September,18,2010,15:00,35940,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,West Bromwich Albion,3,Birmingham City,1,Saturday,September,18,2010,15:00,23062,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Everton FC,0,Newcastle United,1,Saturday,September,18,2010,15:00,38019,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Blackburn Rovers,1,Fulham FC,1,Saturday,September,18,2010,15:00,23759,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Aston Villa,1,Bolton Wanderers,1,Saturday,September,18,2010,15:00,34655,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Sunderland AFC,1,Arsenal FC,1,Saturday,September,18,2010,17:30,38950,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Manchester United,3,Liverpool FC,2,Sunday,September,19,2010,13:30,75213,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Wigan Athletic,0,Manchester City,2,Sunday,September,19,2010,15:00,15525,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Chelsea FC,4,Blackpool FC,0,Sunday,September,19,2010,16:00,41761,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Manchester City,1,Chelsea FC,0,Saturday,September,25,2010,12:45,47203,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Liverpool FC,2,Sunderland AFC,2,Saturday,September,25,2010,15:00,43626,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Fulham FC,0,Everton FC,0,Saturday,September,25,2010,15:00,25598,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Blackpool FC,1,Blackburn Rovers,2,Saturday,September,25,2010,15:00,15901,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Arsenal FC,2,West Bromwich Albion,3,Saturday,September,25,2010,15:00,60025,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,West Ham United,1,Tottenham Hotspur,0,Saturday,September,25,2010,15:00,34190,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Birmingham City,0,Wigan Athletic,0,Saturday,September,25,2010,15:00,22186,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Bolton Wanderers,2,Manchester United,2,Sunday,September,26,2010,12:00,23926,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Wolverhampton Wanderers,1,Aston Villa,2,Sunday,September,26,2010,14:05,27511,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Newcastle United,1,Stoke City,2,Sunday,September,26,2010,16:10,41915,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Wigan Athletic,2,Wolverhampton Wanderers,0,Saturday,October,2,2010,12:45,14042,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Tottenham Hotspur,2,Aston Villa,1,Saturday,October,2,2010,15:00,35871,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Stoke City,1,Blackburn Rovers,0,Saturday,October,2,2010,15:00,25515,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,West Ham United,1,Fulham FC,1,Saturday,October,2,2010,15:00,34589,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,West Bromwich Albion,1,Bolton Wanderers,1,Saturday,October,2,2010,15:00,22846,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Birmingham City,0,Everton FC,2,Saturday,October,2,2010,15:00,23138,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Sunderland AFC,0,Manchester United,0,Saturday,October,2,2010,15:15,41709,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Manchester City,2,Newcastle United,1,Sunday,October,3,2010,13:30,46067,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Liverpool FC,1,Blackpool FC,2,Sunday,October,3,2010,15:00,43156,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Chelsea FC,2,Arsenal FC,0,Sunday,October,3,2010,16:00,41828,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Fulham FC,1,Tottenham Hotspur,2,Saturday,October,16,2010,15:00,25615,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Wolverhampton Wanderers,1,West Ham United,1,Saturday,October,16,2010,15:00,28582,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Arsenal FC,2,Birmingham City,1,Saturday,October,16,2010,15:00,60070,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Bolton Wanderers,2,Stoke City,1,Saturday,October,16,2010,15:00,22975,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Manchester United,2,West Bromwich Albion,2,Saturday,October,16,2010,15:00,75272,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Newcastle United,2,Wigan Athletic,2,Saturday,October,16,2010,15:00,44415,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Aston Villa,0,Chelsea FC,0,Saturday,October,16,2010,17:30,40122,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Everton FC,2,Liverpool FC,0,Sunday,October,17,2010,13:30,39673,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Blackpool FC,2,Manchester City,3,Sunday,October,17,2010,16:00,16116,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Blackburn Rovers,0,Sunderland AFC,0,Monday,October,18,2010,20:00,21894,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Tottenham Hotspur,1,Everton FC,1,Saturday,October,23,2010,12:45,35967,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Birmingham City,2,Blackpool FC,0,Saturday,October,23,2010,15:00,26850,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Wigan Athletic,1,Bolton Wanderers,1,Saturday,October,23,2010,15:00,17100,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,West Bromwich Albion,2,Fulham FC,1,Saturday,October,23,2010,15:00,25625,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Sunderland AFC,1,Aston Villa,0,Saturday,October,23,2010,15:00,41506,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Chelsea FC,2,Wolverhampton Wanderers,0,Saturday,October,23,2010,15:00,41752,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,West Ham United,1,Newcastle United,2,Saturday,October,23,2010,17:30,34486,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Stoke City,1,Manchester United,2,Sunday,October,24,2010,13:30,27372,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Liverpool FC,2,Blackburn Rovers,1,Sunday,October,24,2010,15:00,43328,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Manchester City,0,Arsenal FC,3,Sunday,October,24,2010,16:00,47393,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Blackburn Rovers,1,Chelsea FC,2,Saturday,October,30,2010,15:00,25836,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Arsenal FC,1,West Ham United,0,Saturday,October,30,2010,15:00,60086,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Wolverhampton Wanderers,2,Manchester City,1,Saturday,October,30,2010,15:00,25971,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Everton FC,1,Stoke City,0,Saturday,October,30,2010,15:00,35513,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Fulham FC,2,Wigan Athletic,0,Saturday,October,30,2010,15:00,25448,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Manchester United,2,Tottenham Hotspur,0,Saturday,October,30,2010,17:30,75223,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Aston Villa,0,Birmingham City,0,Sunday,October,31,2010,12:00,40688,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Newcastle United,5,Sunderland AFC,1,Sunday,October,31,2010,13:30,51988,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Bolton Wanderers,0,Liverpool FC,1,Sunday,October,31,2010,16:00,25171,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Blackpool FC,2,West Bromwich Albion,1,Monday,November,1,2010,20:00,15210,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Bolton Wanderers,4,Tottenham Hotspur,2,Saturday,November,6,2010,12:45,20255,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Sunderland AFC,2,Stoke City,0,Saturday,November,6,2010,15:00,36541,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Blackpool FC,2,Everton FC,2,Saturday,November,6,2010,15:00,16094,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Fulham FC,1,Aston Villa,1,Saturday,November,6,2010,15:00,23654,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Birmingham City,2,West Ham United,2,Saturday,November,6,2010,15:00,26474,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Manchester United,2,Wolverhampton Wanderers,1,Saturday,November,6,2010,15:00,75285,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Blackburn Rovers,2,Wigan Athletic,1,Saturday,November,6,2010,15:00,24413,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Arsenal FC,0,Newcastle United,1,Sunday,November,7,2010,13:30,60059,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,West Bromwich Albion,0,Manchester City,2,Sunday,November,7,2010,15:00,23013,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Liverpool FC,2,Chelsea FC,0,Sunday,November,7,2010,16:00,44238,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Stoke City,3,Birmingham City,2,Tuesday,November,9,2010,19:45,26381,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Tottenham Hotspur,1,Sunderland AFC,1,Tuesday,November,9,2010,20:00,35843,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Wolverhampton Wanderers,0,Arsenal FC,2,Wednesday,November,10,2010,19:45,27329,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,West Ham United,2,West Bromwich Albion,2,Wednesday,November,10,2010,19:45,33023,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Wigan Athletic,1,Liverpool FC,1,Wednesday,November,10,2010,19:45,16754,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Newcastle United,1,Blackburn Rovers,2,Wednesday,November,10,2010,19:45,41053,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Aston Villa,3,Blackpool FC,2,Wednesday,November,10,2010,19:45,34330,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Chelsea FC,1,Fulham FC,0,Wednesday,November,10,2010,19:45,41593,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Manchester City,0,Manchester United,0,Wednesday,November,10,2010,20:00,47679,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Everton FC,1,Bolton Wanderers,1,Wednesday,November,10,2010,20:00,31808,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Aston Villa,2,Manchester United,2,Saturday,November,13,2010,12:45,40073,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Wolverhampton Wanderers,2,Bolton Wanderers,3,Saturday,November,13,2010,15:00,27508,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Wigan Athletic,1,West Bromwich Albion,0,Saturday,November,13,2010,15:00,16085,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Newcastle United,0,Fulham FC,0,Saturday,November,13,2010,15:00,44686,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,West Ham United,0,Blackpool FC,0,Saturday,November,13,2010,15:00,31194,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Tottenham Hotspur,4,Blackburn Rovers,2,Saturday,November,13,2010,15:00,35700,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Manchester City,0,Birmingham City,0,Saturday,November,13,2010,15:00,44321,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Stoke City,2,Liverpool FC,0,Saturday,November,13,2010,17:30,27286,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Everton FC,1,Arsenal FC,2,Sunday,November,14,2010,14:00,36279,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Chelsea FC,0,Sunderland AFC,3,Sunday,November,14,2010,16:10,41072,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Arsenal FC,2,Tottenham Hotspur,3,Saturday,November,20,2010,12:45,60102,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,West Bromwich Albion,0,Stoke City,3,Saturday,November,20,2010,15:00,24164,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Bolton Wanderers,5,Newcastle United,1,Saturday,November,20,2010,15:00,22203,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Birmingham City,1,Chelsea FC,0,Saturday,November,20,2010,15:00,24357,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Blackpool FC,2,Wolverhampton Wanderers,1,Saturday,November,20,2010,15:00,15922,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Manchester United,2,Wigan Athletic,0,Saturday,November,20,2010,15:00,74181,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Liverpool FC,3,West Ham United,0,Saturday,November,20,2010,17:30,43024,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Blackburn Rovers,2,Aston Villa,0,Sunday,November,21,2010,13:30,21848,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Fulham FC,1,Manchester City,4,Sunday,November,21,2010,16:00,25694,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Sunderland AFC,2,Everton FC,2,Monday,November,22,2010,20:00,37331,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Aston Villa,2,Arsenal FC,4,Saturday,November,27,2010,12:45,38544,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,West Ham United,3,Wigan Athletic,1,Saturday,November,27,2010,15:00,34178,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Fulham FC,1,Birmingham City,1,Saturday,November,27,2010,15:00,24391,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Everton FC,1,West Bromwich Albion,4,Saturday,November,27,2010,15:00,35237,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Wolverhampton Wanderers,3,Sunderland AFC,2,Saturday,November,27,2010,15:00,25112,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Bolton Wanderers,2,Blackpool FC,2,Saturday,November,27,2010,15:00,25851,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Manchester United,7,Blackburn Rovers,1,Saturday,November,27,2010,15:00,74850,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Stoke City,1,Manchester City,1,Saturday,November,27,2010,15:00,27405,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Newcastle United,1,Chelsea FC,1,Sunday,November,28,2010,13:30,46469,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Tottenham Hotspur,2,Liverpool FC,1,Sunday,November,28,2010,16:00,35962,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,Wigan Athletic,2,Stoke City,2,Saturday,December,4,2010,15:00,15100,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Manchester City,1,Bolton Wanderers,0,Saturday,December,4,2010,15:00,46860,City of Manchester Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Chelsea FC,1,Everton FC,1,Saturday,December,4,2010,15:00,41642,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Blackburn Rovers,3,Wolverhampton Wanderers,0,Saturday,December,4,2010,15:00,22314,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Birmingham City,1,Tottenham Hotspur,1,Saturday,December,4,2010,15:00,25770,St Andrew's Ground (Birmingham / England),https://www.worldfootball.net/venues/st-andrews-ground-birmingham/
0,Arsenal FC,2,Fulham FC,1,Saturday,December,4,2010,15:00,60049,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,West Bromwich Albion,3,Newcastle United,1,Sunday,December,5,2010,13:30,23486,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Sunderland AFC,1,West Ham United,0,Sunday,December,5,2010,16:00,36940,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Liverpool FC,3,Aston Villa,0,Monday,December,6,2010,20:00,39079,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Blackpool FC,2,Manchester United,3,Tuesday,January,25,2011,19:30,15574,Bloomfield Road (Blackpool / England),https://www.worldfootball.net/venues/bloomfield-road-blackpool/
0,Fulham FC,0,Sunderland AFC,0,Saturday,December,11,2010,15:00,24462,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Stoke City,0,Blackpool FC,1,Saturday,December,11,2010,15:00,26879,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Aston Villa,2,West Bromwich Albion,1,Saturday,December,11,2010,15:00,37015,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Everton FC,0,Wigan Athletic,0,Saturday,December,11,2010,15:00,32853,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,West Ham United,1,Manchester City,3,Saturday,December,11,2010,15:00,32813,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Newcastle United,3,Liverpool FC,1,Saturday,December,11,2010,17:30,50137,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
