,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium,a_href
0,Arsenal FC,3,Norwich City,3,Saturday,May,5,2012,12:45,60092,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Newcastle United,0,Manchester City,2,Sunday,May,6,2012,13:30,52389,Sports Direct Arena (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Aston Villa,1,Tottenham Hotspur,1,Sunday,May,6,2012,14:00,36008,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Bolton Wanderers,2,West Bromwich Albion,2,Sunday,May,6,2012,14:00,25662,Reebok Stadium (Bolton / England),https://www.worldfootball.net/venues/university-of-bolton-stadium-bolton/
0,Fulham FC,2,Sunderland AFC,1,Sunday,May,6,2012,14:00,25683,Craven Cottage (London / England),https://www.worldfootball.net/venues/craven-cottage-london/
0,Queens Park Rangers,1,Stoke City,0,Sunday,May,6,2012,14:00,17319,Loftus Road (London / England),https://www.worldfootball.net/venues/loftus-road-london/
0,Wolverhampton Wanderers,0,Everton FC,0,Sunday,May,6,2012,14:00,25466,Molineux Stadium (Wolverhampton / England),https://www.worldfootball.net/venues/molineux-stadium-wolverhampton/
0,Manchester United,2,Swansea City,0,Sunday,May,6,2012,16:00,75496,Old Trafford (Manchester / England),https://www.worldfootball.net/venues/old-trafford-manchester/
0,Blackburn Rovers,0,Wigan Athletic,1,Monday,May,7,2012,20:00,26144,Ewood Park (Blackburn / England),https://www.worldfootball.net/venues/ewood-park-blackburn/
0,Liverpool FC,4,Chelsea FC,1,Tuesday,May,8,2012,20:00,40721,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,Chelsea FC,2,Blackburn Rovers,1,Sunday,May,13,2012,15:00,40742,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
0,Everton FC,3,Newcastle United,1,Sunday,May,13,2012,15:00,39517,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Manchester City,3,Queens Park Rangers,2,Sunday,May,13,2012,15:00,48000,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Norwich City,2,Aston Villa,0,Sunday,May,13,2012,15:00,26803,Carrow Road (Norwich / England),https://www.worldfootball.net/venues/carrow-road-norwich/
0,Stoke City,2,Bolton Wanderers,2,Sunday,May,13,2012,15:00,27789,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Sunderland AFC,0,Manchester United,1,Sunday,May,13,2012,15:00,46452,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Swansea City,1,Liverpool FC,0,Sunday,May,13,2012,15:00,20605,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
