,0
ath_bilbao_b,athletic_bilbao_b
swindon,swindon_town
setubal,vitória_setúbal
freiburg,sc_freiburg
raith_rvs,raith_rovers
levadiakos,levadeiakos
barcelona,fc_barcelona
grimsby,grimsby_town
fc_koln,1._fc_köln
aek,aek_athen
fulham,fulham_fc
chelsea,chelsea_fc
olhanense,sc_olhanense
rodez,rodez_af
olympiakos,olympiakos_piraeus
mallorca,rcd_mallorca
st_mirren,st._mirren_fc
ponferradina,sd_ponferradina
munich_1860,tsv_1860_münchen
casa_pia,casa_pia_ac
motherwell,motherwell_fc
aves,cd_aves
sheffield_weds,sheffield_wednesday
catania,calcio_catania
york,york_city
ross_county,ross_county_fc
aldershot,aldershot_town
cagliari,cagliari_calcio
ümraniyespor,umraniyespor
inverness_c,inverness_ct
morton,greenock_morton_fc
northampton,northampton_town
academica,académica_de_coimbra
valencia,valencia_cf
ucam_murcia,ucam_murcia_cf
sociedad,real_sociedad
union_berlin,1._fc_union_berlin
lincoln,lincoln_city
nancy,as_nancy_lorraine
karabükspor,karabukspor
évian_thonon_gaillard,evian_thonon_gaillard
torquay,torquay_united
foggia,foggia_calcio
eupen,kas_eupen
mansfield,mansfield_town
stuttgart,vf_b_stuttgart
tottenham,tottenham_hotspur
west_ham,west_ham_united
stoke,stoke_city
monaco,as_monaco
apollon,apollon_smyrnis
osnabruck,vf_l_osnabrück
rio_ave,rio_ave_fc
grosseto,us_grosseto_fc
osmanlispor,osmanlıspor_fk
bielefeld,arminia_bielefeld
ternana,ternana_calcio
havre_ac,le_havre
belenenses,belenenses_sad
stevenage,stevenage_fc
istanbulspor,i̇stanbulspor_aş
cardiff,cardiff_city
alloa,alloa_athletic
ayr,ayr_united
lille,lille_osc
chesterfield,chesterfield_fc
montpellier,montpellier_hsc
red_star,red_star_fc
venezia,venezia_fc
chateauroux,lb_châteauroux
granada,granada_cf
elche,elche_cf
paris_sg,paris_saint_germain
bari,as_bari
partick,partick_thistle
portimonense,portimonense_sc
mirandes,cd_mirandés
reggiana,ac_reggiana_1919
montrose,montrose_fc
bonnyrigg_rose,bonnyrigg_rose_athletic
sedan,cs_sedan
standard,standard_liège
paok,paok_saloniki
coventry,coventry_city
queens_park,queen's_park_fc
leicester,leicester_city
murcia,real_murcia
reus_deportiu,cf_reus_deportiu
lazio,lazio_roma
mersin_idmanyurdu,mersin_idman_yurdu
cottbus,energie_cottbus
arbroath,arbroath_fc
bologna,bologna_fc
forest_green,forest_green_rovers
barnet,barnet_fc
carpi,carpi_fc
boulogne,us_boulogne
rennes,stade_rennes
laval,stade_laval
stirling,stirling_albion_fc
rotherham,rotherham_united
perugia,ac_perugia_calcio
airdrie_utd,airdrieonians_fc
leeds,leeds_united
charleroi,sporting_charleroi
clermont,clermont_foot_auvergne_63
xerez,xerez_cd
parma,parma_fc
gubbio,as_gubbio
trapani,trapani_calcio
benfica,sl_benfica
wigan,wigan_athletic
edinburgh_city,edinburgh_city_fc
famalicao,fc_famalicão
angers,angers_sco
oviedo,real_oviedo
würzburger_kickers,wurzburger_kickers
cadiz,cádiz_cf
lens,rc_lens
cowdenbeath,cowdenbeath_fc
fortuna_düsseldorf,fortuna_dusseldorf
ipswich,ipswich_town
valenciennes,valenciennes_fc
malaga,málaga_cf
gençlerbirliği,genclerbirligi
barrow,barrow_afc
alaves,cd_alavés
morecambe,morecambe_fc
andorra,fc_andorra
nurnberg,1._fc_nürnberg
espanol,espanyol_barcelona
cremonese,us_cremonese
clyde,clyde_fc
beşiktaş,besiktas
falkirk,falkirk_fc
levante,levante_ud
dunkerque,usl_dunkerque
beerschot_va,k_beerschot_va
penafiel,fc_penafiel
darmstadt,sv_darmstadt_98
wehen,sv_wehen_wiesbaden
gillingham,gillingham_fc
nott'm_forest,nottingham_forest
altay,altay_izmir
pordenone,pordenone_calcio
scunthorpe,scunthorpe_united
erzurum_bb,bb_erzurumspor
karlsruhe,karlsruher_sc
genk,krc_genk
fiorentina,acf_fiorentina
vizela,fc_vizela
middlesbrough,middlesbrough_fc
bury,bury_fc
udinese,udinese_calcio
mainz,1._fsv_mainz_05
metz,fc_metz
forfar,forfar_athletic
celtic,celtic_fc
osasuna,ca_osasuna
antwerp,royal_antwerp_fc
watford,watford_fc
celta,celta_vigo
spezia,spezia_calcio
salernitana,us_salernitana_1919
crotone,fc_crotone
newcastle,newcastle_united
dortmund,borussia_dortmund
club_brugge,club_brugge_kv
hearts,heart_of_midlothian
bolton,bolton_wanderers
sochaux,fc_sochaux
bradford,bradford_city
balıkesirspor,balikesirspor
dag_and_red,dagenham_&_redbridge
sociedad_b,real_sociedad_b
elazığspor,elazigspor
dumbarton,dumbarton_fc
stockport,stockport_county
burnley,burnley_fc
accrington,accrington_stanley
everton,everton_fc
leganes,cd_leganés
charlton,charlton_athletic
hamburg,hamburger_sv
bordeaux,girondins_bordeaux
grenoble,grenoble_foot_38
brentford,brentford_fc
amorebieta,sd_amorebieta
hannover,hannover_96
llagostera,ue_llagostera
mouscron,royal_excel_mouscron
caen,sm_caen
livorno,as_livorno
giannina,pas_giannina
lokeren,sporting_lokeren
rizespor,çaykur_rizespor
pisa,ac_pisa
como,calcio_como
sp_lisbon,sporting_cp
hercules,hércules_cf
qpr,queens_park_rangers
